Species name standardized against TPL,Taxonomic level,Phylogenetic Group General,Growth Form,Leaf type,Leaf area (mm2),Leaf area (n.o.),Nmass (mg/g),Nmass (n.o.),LMA (g/m2),LMA (n.o.),Plant height (m),Plant height (n.o.),Diaspore mass (mg),Diaspore mass (n.o.),SSD observed (mg/mm3),SSD (n.o.),LDMC (g/g),LDMC (n.o.),SSD imputed (mg/mm3),SSD combined (mg/mm3),Number of traits with values
Abarema adenophora,species,Angiosperm,tree,broadleaved,7161.55,5,24.374,6,87.066,4,,,,,0.648,4,,,,0.648,4
Abarema cochleata,species,Angiosperm,tree,,700,1,,,,,,,,,,,,,,,1
Abarema floribunda,species,Angiosperm,tree,,700,1,,,,,,,,,,,,,,,1
Abarema jupunba,species,Angiosperm,tree,broadleaved,369.48,16,28.815,18,72.118,14,35,13,122.951,16,0.55,29,,,,0.55,6
Abarema laeta,species,Angiosperm,tree,broadleaved,,,48.678,2,47.843,2,,,,,,,,,,,2
Abarema macradenia,species,Angiosperm,tree,broadleaved,,,23.39,1,134.727,6,31.666,2,90,7,0.43,3,,,,0.43,5
Abarema mataybifolia,species,Angiosperm,tree,broadleaved,,,36.997,22,57.537,7,10,7,,,0.48,7,,,,0.48,4
Abarema piresii,species,Angiosperm,tree,broadleaved,,,23.198,2,,,,,,,,,,,,,1
Abies alba,species,Gymnosperm,tree,needleleaved,32.42,13,26.4,174,106.045,129,42.074,59,62.007,17,0.499,469,,,,0.499,6
Abies amabilis,species,Gymnosperm,tree,needleleaved,,,9.449,26,,,45.957,24,45.512,15,0.42,2,,,,0.42,4
Abies balsamea,species,Gymnosperm,tree,needleleaved,35,,14.081,219,140.028,11,17.977,45,6.711,22,0.42,8,,,,0.42,6
Abies beshanzuensis,species,Gymnosperm,tree,,,,,,,,11,2,,,,,,,,,1
Abies borisii-regis,species,Gymnosperm,tree,needleleaved,,,,,,,30,3,,,,,,,,,1
Abies bracteata,species,Gymnosperm,tree,needleleaved,,,,,,,20.083,8,35.71,1,,,,,,,2
Abies cephalonica,species,Gymnosperm,tree,needleleaved,,,,,,,27.366,16,71.43,1,,,,,,,2
Abies chensiensis,species,Gymnosperm,tree,needleleaved,,,,,,,50,4,,,,,,,,,1
Abies cilicica,species,Gymnosperm,tree,needleleaved,,,,,,,30,4,115.38,1,,,,,,,2
Abies concolor,species,Gymnosperm,tree,needleleaved,75.99,40,13.003,12,208.855,69,43.946,34,34.719,30,0.4,26,,,,0.4,6
Abies delavayi,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,0.4,3,,,,0.4,2
Abies fabri,species,Gymnosperm,tree,needleleaved,,,,,,,40,1,,,0.37,2,,,,0.37,2
Abies fargesii,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,0.34,2,,,,0.34,2
Abies fargesii var. faxoniana,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,40,2,,,0.38,2,,,,0.38,2
Abies firma,species,Gymnosperm,tree,needleleaved,,,,,,,50,7,40.104,7,,,,,,,2
Abies forrestii,species,Gymnosperm,tree,needleleaved,,,,,,,20,2,,,0.35,2,,,,0.35,2
Abies forrestii var. georgei,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,30,2,,,0.43,4,,,,0.43,2
Abies fraseri,species,Gymnosperm,tree,needleleaved,34.6,,17.839,9,182.054,90,20.356,20,7.139,15,0.525,,,,,0.525,6
Abies grandis,species,Gymnosperm,tree,needleleaved,180,1,14.6,2,212.766,6,54.917,50,17.579,22,0.42,4,,,,0.42,6
Abies guatemalensis,species,Gymnosperm,tree,needleleaved,,,,,,,,,,,0.43,4,,,,0.43,1
Abies holophylla,species,Gymnosperm,tree,needleleaved,,,,,,,44.721,7,,,0.33,3,,,,0.33,2
Abies homolepis,species,Gymnosperm,tree,needleleaved,,,,,,,26.207,6,17.086,8,,,,,,,2
Abies kawakamii,species,Gymnosperm,tree,needleleaved,,,,,,,20,5,,,,,,,,,1
Abies koreana,species,Gymnosperm,tree,needleleaved,,,,,,,13.925,9,10,1,,,,,,,2
Abies lasiocarpa,species,Gymnosperm,tree,needleleaved,35.04,11,13.439,54,276.007,45,26.655,33,12.66,34,0.32,30,,,,0.32,6
Abies lasiocarpa var. arizonica,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,,,,,0.28,2,,,,0.28,1
Abies magnifica,species,Gymnosperm,tree,needleleaved,,,,,,,45.778,18,75.751,31,0.42,2,,,,0.42,3
Abies magnifica var. shastensis,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,54.86,2,79.73,1,,,,,,,2
Abies mariesii,species,Gymnosperm,tree,needleleaved,,,,,,,30,7,24.916,7,,,,,,,2
Abies nebrodensis,species,Gymnosperm,tree,needleleaved,,,,,,,15,1,,,,,,,,,1
Abies nephrolepis,species,Gymnosperm,tree,needleleaved,,,14.1,3,,,45,5,,,0.32,8,,,,0.32,3
Abies nordmanniana,species,Gymnosperm,tree,needleleaved,,,,,,,42.486,24,72.866,10,,,,,,,2
Abies nordmanniana subsp. equi-trojani,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,27.5,2,,,0.41,1,,,,0.41,2
Abies numidica,species,Gymnosperm,tree,needleleaved,,,,,,,20,4,33.22,1,,,,,,,2
Abies pindrow,species,Gymnosperm,tree,needleleaved,,,,,,,60,2,18.33,1,0.38,2,,,,0.38,3
Abies pinsapo,species,Gymnosperm,tree,needleleaved,,,,,,,25.718,15,55.297,2,0.41,4,,,,0.41,3
Abies procera,species,Gymnosperm,tree,needleleaved,,,,,75.815,2,61.366,30,34.109,13,0.4,2,,,,0.4,4
Abies recurvata,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,,,,,,,1
Abies recurvata var. ernestii,variety or subspecies,Gymnosperm,tree,needleleaved,,,,,,,60,2,,,0.36,2,,,,0.36,2
Abies religiosa,species,Gymnosperm,tree,needleleaved,,,,,,,,,33.687,2,0.38,2,,,,0.38,2
Abies sachalinensis,species,Gymnosperm,tree,needleleaved,,,10.8,1,,,40,5,9.348,8,,,,,,,3
Abies sibirica,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,10,1,,,,,,,2
Abies spectabilis,species,Gymnosperm,tree,needleleaved,,,,,,,65,7,37.04,1,,,,,,,2
Abies squamata,species,Gymnosperm,tree,needleleaved,,,,,,,40,5,,,,,,,,,1
Abies veitchii,species,Gymnosperm,tree,needleleaved,,,,,,,27.386,9,8.872,8,,,,,,,2
Abies vejarii,species,Gymnosperm,tree,needleleaved,,,,,,,,,20,1,,,,,,,1
Abies yuanbaoshanensis,species,Gymnosperm,tree,,,,,,,,25,2,,,,,,,,,1
Abies ziyuanensis,species,Gymnosperm,tree,,,,,,,,30,2,,,,,,,,,1
Abrahamia ditimena,species,Angiosperm,tree,broadleaved,,,,,,,,,,,0.675,4,,,,0.675,1
Acacia abyssinica,species,Angiosperm,tree,broadleaved,,,,,,,12.164,3,69.855,18,,,,,,,2
Acacia acrionastes,species,Angiosperm,tree,broadleaved,,,,,,,,,20.42,6,,,,,,,1
Acacia acuifera,species,Angiosperm,tree,broadleaved,,,,,,,,,15.31,6,,,,,,,1
