,Time,ACER.SAH_g/m2,AllSpp_g/m2
0,0,3,3
1,10,14,14
2,20,93,93
3,30,536,536
4,40,2436,2436
5,50,6904,6904
6,60,11471,11471
7,70,14402,14402
8,80,16059,16059
9,90,16843,16843
10,100,17395,17395
11,110,17605,17605
12,120,17734,17734
13,130,17839,17839
14,140,17806,17806
15,150,17775,17775
16,160,17465,17465
17,170,17094,17094
18,180,16790,16790
19,190,16656,16656
20,200,16411,16411
21,210,16312,16312
22,220,15975,15975
23,230,15351,15351
24,240,14719,14719
25,250,14109,14109
26,260,13343,13343
27,270,12381,12381
28,280,11402,11402
29,290,10347,10347
30,300,9291,9291
