,Time,ACER.SAH_g/m2,AllSpp_g/m2
0,0,3,3
1,10,42,42
2,20,501,501
3,30,3128,3128
4,40,8034,8034
5,50,12142,12142
6,60,14597,14597
7,70,15931,15931
8,80,16750,16750
9,90,17066,17066
10,100,17389,17389
11,110,17400,17400
12,120,17429,17429
13,130,17579,17579
14,140,17497,17497
15,150,17416,17416
16,160,16963,16963
17,170,16490,16490
18,180,16147,16147
19,190,16026,16026
20,200,15778,15778
21,210,15745,15745
22,220,15406,15406
23,230,14785,14785
24,240,14241,14241
25,250,13727,13727
26,260,13076,13076
27,270,12250,12250
28,280,11451,11451
29,290,10577,10577
30,300,9715,9715
