,Time,PICE.MAR_g/m2,AllSpp_g/m2
0,0,3,3
1,10,30,30
2,20,369,369
3,30,2794,2794
4,40,8013,8013
5,50,12010,12010
6,60,14043,14043
7,70,14928,14928
8,80,15237,15237
9,90,15258,15258
10,100,15062,15062
11,110,14700,14700
12,120,14194,14194
13,130,13566,13566
14,140,12811,12811
15,150,11945,11945
16,160,10963,10963
17,170,9877,9877
18,180,8694,8694
19,190,7436,7436
20,200,6126,6126
21,210,4806,4806
22,220,3527,3527
23,230,2364,2364
24,240,1403,1403
25,250,713,713
26,260,309,309
27,270,0,0
28,280,0,0
29,290,0,0
30,300,0,0
